Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"Baltimore, MD (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",627732,627732,485844,,,312850,236669
"Baltimore, MD (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",1307241,1307241,503252,,,1120031,384559
"Baltimore, MD (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,1820657,1820657,1065528,,,1820657,1065528
"Baltimore, MD (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",516598,516598,150766,,,6037,214
"Baltimore, MD (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,145993,145993,52249,,,,
"Baltimore, MD (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",8291770,8291770,4183076,,,6523853,3348842
"Baltimore, MD (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",679619,679619,339097,,,591048,293031
"Baltimore, MD (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",258838,258838,99609,,,,
"Baltimore, MD (Port)",2106 Food Preparations Nesoi,15515157,15515157,4384871,,,10417417,2246783
"Baltimore, MD (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",2695,2695,3073,,,2695,3073
"Baltimore, MD (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",1186434,1186434,1166961,,,702486,805833
"Baltimore, MD (Port)",2203 Beer Made From Malt,916425,916425,634375,,,794436,535565
"Baltimore, MD (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,94526,94526,69031,,,80378,59631
"Baltimore, MD (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",407358,407358,242044,,,120430,139901
"Baltimore, MD (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",11490604,11490604,2179074,,,11387346,2152063
"Baltimore, MD (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,42964,42964,43368,,,42964,43368
"Baltimore, MD (Port)","2301 Flour, Meal Etc Of Meat Etc, Not For Human; Greavs",5328379,5328379,6191741,,,2844823,3540597
"Baltimore, MD (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",203028,203028,3870116,,,203028,3870116
"Baltimore, MD (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,15975,15975,20500,,,15975,20500
"Baltimore, MD (Port)","2304 Soybean Oilcake & Oth Solid Residue, Wh/not Ground",2477224,2477224,3593545,,,,
"Baltimore, MD (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",290495,290495,617855,,,100668,214111
"Baltimore, MD (Port)",2309 Preparations Used In Animal Feeding,7393197,7393197,2854554,,,6136382,2146645
"Baltimore, MD (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",500117,500117,66980,,,150677,25700
"Baltimore, MD (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,10420114,10420114,1638161,,,,
"Baltimore, MD (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),92790,92790,3215,,,,
"Baltimore, MD (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",4300,4300,38,,,,
"Baltimore, MD (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",1303768,1303768,50517,,,1291958,31316
"Baltimore, MD (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",5168,5168,39,,,5168,39
"Baltimore, MD (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",3422,3422,526,,,3422,526
"Baltimore-Washington International Airport, MD (Port)","0106 Animals, Live, Nesoi",27730,,,27730,10,,
"Baltimore-Washington International Airport, MD (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",279348,,,279348,22038,,
"Baltimore-Washington International Airport, MD (Port)","0202 Meat Of Bovine Animals, Frozen",45785,,,45785,5037,,
"Baltimore-Washington International Airport, MD (Port)",0405 Butter And Other Fats And Oils Derived From Milk,5917,,,5917,1100,,
"Baltimore-Washington International Airport, MD (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",57120,,,57120,5314,,
"Baltimore-Washington International Airport, MD (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",3827,,,3827,435,,
"Baltimore-Washington International Airport, MD (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",2860,,,2860,136,,
"Baltimore-Washington International Airport, MD (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",42051,,,42051,4594,,
"Baltimore-Washington International Airport, MD (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,19327,,,19327,989,,
"Baltimore-Washington International Airport, MD (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",4125,,,4125,948,,
"Baltimore-Washington International Airport, MD (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",19606,,,19606,2303,,
"Baltimore-Washington International Airport, MD (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",2562,,,2562,136,,
"Baltimore-Washington International Airport, MD (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,20160,,,20160,13465,,
"Baltimore-Washington International Airport, MD (Port)",2106 Food Preparations Nesoi,252573,,,252573,6278,,
"Boston, MA (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",197000,197000,17448,,,197000,17448
"Boston, MA (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",35490,35490,25792,,,,
"Boston, MA (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",2032150,2032150,549590,,,1636227,466055
"Boston, MA (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",21469464,21469464,10886984,,,11882948,3056967
"Boston, MA (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",5152124,5152124,1274146,,,3617761,926270
"Boston, MA (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",100000,100000,22589,,,,
"Boston, MA (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,8683750,8683750,1035498,,,6978926,847486
"Boston, MA (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,48917877,48917877,9232294,,,28804192,2726849
"Boston, MA (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,1263138,1263138,208075,,,575602,148122
"Boston, MA (Port)","0402 Milk And Cream, Concentrated Or Sweetened",1257311,1257311,622151,,,400000,311522
"Boston, MA (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",6026045,6026045,4566500,,,6026045,4566500
"Boston, MA (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",4805553,4805553,3088131,,,4805553,3088131
"Boston, MA (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",4163,4163,7659,,,,
"Boston, MA (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",228585,228585,448737,,,206960,430952
"Boston, MA (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",418950,418950,26762,,,22050,2268
"Boston, MA (Port)","0713 Leguminous Vegetables, Dried Shelled",37505,37505,60007,,,37505,60007
"Boston, MA (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",82477,82477,112214,,,82477,112214
"Boston, MA (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",7391,7391,590,,,7391,590
"Boston, MA (Port)","0806 Grapes, Fresh Or Dried",460458,460458,147827,,,387758,120910
"Boston, MA (Port)","0808 Apples, Pears And Quinces, Fresh",314464,314464,256272,,,314464,256272
"Boston, MA (Port)","0810 Fruit Nesoi, Fresh",168705,168705,47125,,,168705,47125
"Boston, MA (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,6635,6635,2724,,,6635,2724
"Boston, MA (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",3331,3331,1545,,,3331,1545
"Boston, MA (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",34984,34984,5703,,,25486,4619
"Boston, MA (Port)",1005 Corn (maize),16862,16862,24265,,,16862,24265
"Boston, MA (Port)",1006 Rice,96152,96152,128893,,,96152,128893
"Boston, MA (Port)",1101 Wheat Or Meslin Flour,17949,17949,17024,,,17949,17024
"Boston, MA (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",38540,38540,19342,,,38540,19342
"Boston, MA (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",46812,46812,2762,,,46812,2762
"Boston, MA (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",168620,168620,6516,,,,
"Boston, MA (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",2527,2527,304,,,2527,304
"Boston, MA (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",92668,92668,48579,,,,
"Boston, MA (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,184449,184449,250147,,,184449,250147
"Boston, MA (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",37800,37800,19958,,,37800,19958
"Boston, MA (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,627046,627046,258043,,,48000,19000
"Boston, MA (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",2728479,2728479,359344,,,1915375,267161
"Boston, MA (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",164192,164192,27945,,,90774,14133
"Boston, MA (Port)",1806 Chocolate & Other Food Products Containing Cocoa,19488,19488,6375,,,19488,6375
"Boston, MA (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,836383,836383,174550,,,136176,70773
"Boston, MA (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",612684,612684,221177,,,612684,221177
"Boston, MA (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",830085,830085,268448,,,824104,266885
"Boston, MA (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",7964,7964,5023,,,2623,2725
"Boston, MA (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",45706,45706,7764,,,45706,7764
"Boston, MA (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",13111,13111,1970,,,13111,1970
"Boston, MA (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",198040,198040,41602,,,190492,39969
"Boston, MA (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,57440,57440,10297,,,57440,10297
"Boston, MA (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",3831402,3831402,3267006,,,3739845,3155821
"Boston, MA (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",64571,64571,40819,,,61571,40121
"Boston, MA (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",22059,22059,4462,,,22059,4462
"Boston, MA (Port)",2106 Food Preparations Nesoi,3987085,3987085,1035848,,,1296771,515509
"Boston, MA (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",129014,129014,49518,,,37498,16189
"Boston, MA (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",82548,82548,38460,,,82548,38460
"Boston, MA (Port)",2203 Beer Made From Malt,244641,244641,86060,,,244641,86060
"Boston, MA (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,9338,9338,11477,,,9338,11477
"Boston, MA (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,15548,15548,381,,,,
"Boston, MA (Port)",2309 Preparations Used In Animal Feeding,59352,59352,34262,,,56748,32245
"Boston, MA (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,81591481,81591481,33454716,,,81391861,33377790
"Boston, MA (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,62851,62851,25855,,,62851,25855
"Boston, MA (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),630978,630978,330695,,,630978,330695
"Boston, MA (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",793418,793418,159238,,,793418,159238
"Boston, MA (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",38198,38198,36418,,,38198,36418
"Boston, MA (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",293076,293076,535773,,,26568,20888
"Boston, MA (Port)",5103 Waste Of Wool Or Of Fine Or Coarse Animal Hair,30138,30138,13323,,,30138,13323
"Boston, MA (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",17760,17760,294,,,,
"Boston, MA (Port)","5303 Jute & Oth Text Bast Fib Nesoi, Raw Etc & Tow Etc",30000,30000,95696,,,30000,95696
"Boston, MA (Port)",5309 Woven Fabrics Of Flax,17550,17550,1361,,,,
"Fall River, MA (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",14700,14700,2100,,,,
"Hartford, CT (Port)","0301 Fish, Live",3725,,,3725,190,,
"Logan Airport, MA (Port)","0106 Animals, Live, Nesoi",8111385,,,8111385,40700,,
"Logan Airport, MA (Port)","0301 Fish, Live",146083,,,146083,10423,,
"Logan Airport, MA (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",12040375,,,12040375,2461862,,
"Logan Airport, MA (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",2000659,,,2000659,509253,,
"Logan Airport, MA (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",592184,,,592184,69701,,
"Logan Airport, MA (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,44040165,,,44040165,3650891,,
"Logan Airport, MA (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,17639261,,,17639261,2020107,,
"Logan Airport, MA (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,5580923,,,5580923,310586,,
"Logan Airport, MA (Port)","0402 Milk And Cream, Concentrated Or Sweetened",5834,,,5834,1088,,
"Logan Airport, MA (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",768216,,,768216,41328,,
"Logan Airport, MA (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",5255,,,5255,110,,
"Logan Airport, MA (Port)","0810 Fruit Nesoi, Fresh",119500,,,119500,48000,,
"Logan Airport, MA (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,4416,,,4416,635,,
"Logan Airport, MA (Port)",1101 Wheat Or Meslin Flour,3240,,,3240,2930,,
"Logan Airport, MA (Port)","1209 Seeds, Fruit And Spores, For Sowing",261027,,,261027,11617,,
"Logan Airport, MA (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",2518,,,2518,176,,
"Logan Airport, MA (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,32955,,,32955,827,,
"Logan Airport, MA (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",686776,,,686776,29917,,
"Logan Airport, MA (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",22514,,,22514,8095,,
"Logan Airport, MA (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",11624,,,11624,3775,,
"Logan Airport, MA (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",25119,,,25119,15630,,
"Logan Airport, MA (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",928632,,,928632,72673,,
"Logan Airport, MA (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",14718,,,14718,14305,,
"Logan Airport, MA (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",2592,,,2592,163,,
"Logan Airport, MA (Port)",1806 Chocolate & Other Food Products Containing Cocoa,31567,,,31567,14110,,
"Logan Airport, MA (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,9400,,,9400,1370,,
"Logan Airport, MA (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",720901,,,720901,220185,,
"Logan Airport, MA (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,32250,,,32250,21493,,
"Logan Airport, MA (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",41450,,,41450,5234,,
"Logan Airport, MA (Port)",2106 Food Preparations Nesoi,3196977,,,3196977,651564,,
"Logan Airport, MA (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",2660,,,2660,970,,
"Logan Airport, MA (Port)",2309 Preparations Used In Animal Feeding,19722,,,19722,13182,,
"Logan Airport, MA (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",155368,,,155368,7515,,
"Logan Airport, MA (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",140951,,,140951,2302,,
"Logan Airport, MA (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",830714,,,830714,319940,,
"Logan Airport, MA (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",13453,,,13453,787,,
"Logan Airport, MA (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,303211,,,303211,2530,,
"Logan Airport, MA (Port)","5203 Cotton, Carded Or Combed",14605,,,14605,456,,
"Logan Airport, MA (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",101661,,,101661,4141,,
"Logan Airport, MA (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",256134,,,256134,9607,,
"Logan Airport, MA (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",3760,,,3760,33,,
"Logan Airport, MA (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",6608,,,6608,240,,
"Logan Airport, MA (Port)",5308 Yarn Of Vegetable Textile Fibers Nesoi; Paper Yarn,3187,,,3187,207,,
"New Bedford, MA (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",267260,267260,70467,,,,
"New Bedford, MA (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,310446,310446,22247,,,,
"Plymouth, MA (Port)","1601 Sausages, Similar Prdt Meat Etc Food Prep Of These",5250,5250,2166,,,5250,2166
"Plymouth, MA (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,4163,4163,1030,,,4163,1030
"Salem, MA (Port)","0402 Milk And Cream, Concentrated Or Sweetened",252821,252821,137858,,,252821,137858
"Salem, MA (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",16627,16627,3901,,,,
"Salem, MA (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",41969,41969,10696,,,,
"Buffalo-Niagara Falls, NY (Port)","0101 Horses, Asses, Mules And Hinnies, Live",8128435,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0102 Bovine Animals, Live",2032357,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0104 Sheep And Goats, Live",4621,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live",6264421,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0106 Animals, Live, Nesoi",2942823,,,18630,619,,
"Buffalo-Niagara Falls, NY (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",7008351,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0202 Meat Of Bovine Animals, Frozen",946666,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",29150321,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen",52538,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",2276333,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",22286829,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",431373,,,6204,284,,
"Buffalo-Niagara Falls, NY (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",40109345,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0301 Fish, Live",8578011,,,5003,1613,,
"Buffalo-Niagara Falls, NY (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",29656877,,,33309,3032,,
"Buffalo-Niagara Falls, NY (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",2827710,,,107057,37086,,
"Buffalo-Niagara Falls, NY (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",51178190,326462,90708,119630,18414,,
"Buffalo-Niagara Falls, NY (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",543728,,,,,,
"Buffalo-Niagara Falls, NY (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,14871872,,,,,,
"Buffalo-Niagara Falls, NY (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,24829045,,,,,,
"Buffalo-Niagara Falls, NY (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,100881,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0401 Milk And Cream, Not Concentrated Or Sweetened",6803726,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0402 Milk And Cream, Concentrated Or Sweetened",482036,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",931951,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",5416174,,,,,,
"Buffalo-Niagara Falls, NY (Port)",0405 Butter And Other Fats And Oils Derived From Milk,2220938,25760,12637,,,,
"Buffalo-Niagara Falls, NY (Port)",0406 Cheese And Curd,4509783,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",4701110,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1612474,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0409 Honey, Natural",65281,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0410 Edible Products Of Animal Origin, Nesoi",8899,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",43213,,,,,,
"Buffalo-Niagara Falls, NY (Port)",0502 Hogs' Hair Etc; Badger Hair Etc; Waste Hair Etc.,22543,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",3884662,,,,,,
"Buffalo-Niagara Falls, NY (Port)",0505 Bird Skins & Other Feathered Parts And Down,2671530,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",11584,,,,,,
"Buffalo-Niagara Falls, NY (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",6337,,,,,,
